land,city,balcony,living_space,total_rent,service_charge,base_rent,lift,pets_allowed,floor,no_rooms,garden,cellar,noParkSpaces
Brandenburg,Oder_Spree_Kreis,True,36.29,335.0,50.0,285.0,True,negotiable,1.0,1.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,60.71,365.0,65.0,300.0,False,no,0.0,2.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,True,67.8,590.0,170.0,420.0,True,yes,0.0,3.0,False,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,69.0,520.0,150.0,370.0,False,negotiable,2.0,2.0,True,True,1.0
Brandenburg,Uckermark_Kreis,True,57.38,378.71000000000004,71.73,306.98,False,negotiable,4.0,3.0,False,True,0.0
Brandenburg,Potsdam,False,59.98,660.0,120.0,540.0,False,yes,0.0,2.0,True,False,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,73.45,600.0,185.0,415.0,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,63.0,860.0,60.0,800.0,False,no,0.0,2.0,True,False,0.0
Brandenburg,Oder_Spree_Kreis,False,54.7,402.73,80.0,322.73,False,negotiable,2.0,3.0,False,True,0.0
Brandenburg,Oberhavel_Kreis,True,94.32,754.24,94.0,660.24,False,no,1.0,2.0,False,True,1.0
Brandenburg,Prignitz_Kreis,False,54.0,305.0,60.0,245.0,False,negotiable,3.0,2.0,True,True,0.0
Brandenburg,Spree_Neiße_Kreis,False,84.5,624.88,192.24,432.64,False,negotiable,1.0,4.0,False,True,0.0
Brandenburg,Teltow_Fläming_Kreis,True,104.93,844.75,131.25,713.5,False,negotiable,2.0,3.0,True,False,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,66.67,690.0,90.0,600.0,False,no,1.0,3.0,False,True,1.0
Brandenburg,Havelland_Kreis,False,48.11,697.0,120.0,577.0,True,negotiable,1.0,1.0,False,True,1.0
Brandenburg,Cottbus,False,46.4,371.65999999999997,116.46,255.2,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,True,57.9,349.5,60.0,289.5,False,no,5.0,3.0,False,False,0.0
Brandenburg,Oder_Spree_Kreis,True,60.0,402.06,78.01,324.05,False,yes,3.0,3.0,False,True,0.0
Brandenburg,Cottbus,False,30.97,260.8,112.51,148.29,True,no,0.0,1.0,False,False,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,60.0,430.0,100.0,330.0,False,no,2.0,2.0,True,True,1.0
Brandenburg,Cottbus,True,73.98,503.06,162.75,340.31,False,no,4.0,4.0,False,True,0.0
Brandenburg,Uckermark_Kreis,False,72.98,630.0,155.0,475.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Potsdam,False,73.0,693.94,237.69,456.25,True,no,1.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,True,41.0,371.43,55.0,316.43,False,no,3.0,2.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,False,40.93,282.84000000000003,78.59,204.25,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,True,60.5,286.63,90.0,196.63,False,no,1.0,3.0,False,True,0.0
Brandenburg,Cottbus,False,85.06,730.0,292.0,438.0,False,negotiable,4.0,4.0,False,False,1.0
Brandenburg,Cottbus,True,54.29,482.03,140.0,342.03,False,no,2.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,59.01,442.57,70.81,371.76,False,no,4.0,2.0,False,True,0.0
Brandenburg,Havelland_Kreis,False,73.0,880.0,180.0,700.0,False,negotiable,0.0,2.0,False,True,1.0
Brandenburg,Havelland_Kreis,False,48.84,546.9200000000001,143.99,402.93,False,no,2.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,True,78.51,818.0799999999999,135.04,683.04,True,negotiable,1.0,2.0,False,False,0.0
Brandenburg,Barnim_Kreis,False,60.84,495.88,70.0,425.88,False,no,3.0,3.0,False,False,0.0
Brandenburg,Elbe_Elster_Kreis,False,47.2,293.82,47.2,246.62,False,no,2.0,2.0,False,False,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,102.0,1071.0,204.0,867.0,False,no,3.0,2.0,False,True,1.0
Brandenburg,Havelland_Kreis,False,77.25,544.62,181.54,363.08,False,no,3.0,3.0,False,False,0.0
Brandenburg,Elbe_Elster_Kreis,False,59.43,388.48,95.4,293.08,False,negotiable,3.0,3.0,False,False,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,76.49,910.24,107.09,803.15,False,no,2.0,3.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,False,65.81,593.1700000000001,95.0,498.17,False,no,1.0,3.0,False,False,1.0
Brandenburg,Uckermark_Kreis,False,53.36,371.0,115.0,256.0,False,no,3.0,2.0,False,True,0.0
Brandenburg,Uckermark_Kreis,False,60.0,515.0,120.0,395.0,False,no,1.0,2.0,False,True,1.0
Brandenburg,Dahme_Spreewald_Kreis,True,30.0,340.0,45.0,295.0,False,negotiable,0.0,1.0,True,True,1.0
Brandenburg,Potsdam,True,52.97,730.73,177.72,553.01,False,no,2.0,2.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,39.96,378.0,108.0,270.0,False,no,4.0,1.0,False,False,0.0
Brandenburg,Cottbus,True,59.77,468.0,120.0,348.0,False,negotiable,4.0,3.0,False,True,1.0
Brandenburg,Cottbus,True,58.45,467.36,185.09,282.27,True,no,4.0,3.0,False,False,0.0
Brandenburg,Cottbus,True,56.88,420.0,115.0,305.0,False,negotiable,4.0,3.0,False,True,0.0
Brandenburg,Barnim_Kreis,False,89.0,899.0,187.0,712.0,False,no,1.0,3.0,True,True,1.0
Brandenburg,Barnim_Kreis,True,105.0,969.0,140.0,829.0,False,no,3.0,4.0,True,True,0.0
Brandenburg,Spree_Neiße_Kreis,True,57.12,424.69999999999993,139.67,285.03,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Havelland_Kreis,True,63.04,797.0,178.0,619.0,True,no,1.0,2.0,False,False,0.0
Brandenburg,Spree_Neiße_Kreis,False,76.8,514.5,168.0,346.5,False,no,2.0,3.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,69.0,830.0,140.0,690.0,True,no,3.0,2.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,50.1,445.54,144.94,300.6,False,no,1.0,2.0,False,True,0.0
Brandenburg,Cottbus,True,62.28,393.0,143.0,250.0,False,negotiable,4.0,3.0,False,True,1.0
Brandenburg,Uckermark_Kreis,False,58.14,405.0,90.0,315.0,False,no,1.0,3.0,False,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,30.0,370.0,45.0,325.0,False,negotiable,0.0,1.0,False,True,1.0
Brandenburg,Barnim_Kreis,True,73.21,976.6999999999999,200.67,776.03,False,negotiable,1.0,2.0,False,False,1.0
Brandenburg,Uckermark_Kreis,True,34.55,230.45,43.19,187.26,False,no,3.0,1.0,False,True,0.0
Brandenburg,Oberhavel_Kreis,False,42.0,463.0,83.0,380.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,52.1,659.0,94.0,565.0,True,negotiable,1.0,2.0,True,True,1.0
Brandenburg,Potsdam,True,87.0,1091.1599999999999,160.0,931.16,True,negotiable,3.0,3.0,True,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,85.0,1020.0,170.0,850.0,False,no,1.0,3.0,False,False,0.0
Brandenburg,Cottbus,False,70.0,620.0,200.0,420.0,False,no,2.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,60.0,445.0,150.0,295.0,False,no,3.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,73.94,409.0,74.0,335.0,False,negotiable,0.0,3.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,86.0,610.0,180.0,430.0,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Havelland_Kreis,False,68.0,865.0,205.0,660.0,False,negotiable,0.0,2.0,False,True,1.0
Brandenburg,Teltow_Fläming_Kreis,True,52.73,492.0,175.0,317.0,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,59.47,397.09,70.0,327.09,False,no,5.0,2.0,False,False,0.0
Brandenburg,Oder_Spree_Kreis,True,61.26,559.45,100.0,459.45,True,negotiable,2.0,2.0,False,True,0.0
